The base currency: U.S. dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,,S_AUS,S_CAN,S_DEN,S_GBR,S_JPN,S_KOR,S_NOR,S_SWE,S_CHE,S_AUT,S_BEL,S_FRA,S_GER,S_ESP,S_ITA,S_FIN,S_NET,S_USA
1984.2,0.1493124032,0.2771770878,2.3236124602,-0.3021025951,5.4701676235,6.6888527219,2.0783784768,2.1021810286,0.8459541008,2.9717469108,4.0374214148,2.1452878011,1.023960579,5.0619302551,7.4477687624,1.7751218281,1.1485129471,0,1984.2,1.1610356438,1.3194,10.2125,0.7392622163,237.5,803.4,7.9915,8.184,2.3302,19.526,56.68,8.5445,2.7842,157.895,1716.03,5.901,3.1535,1
1984.3,0.1827216368,0.2761154361,2.392882731,-0.2215422699,5.5032969472,6.7034334819,2.1704241894,2.1498417557,0.9154904117,3.0563568954,4.1169211164,2.2282924884,1.1070102601,5.1325165871,7.5407542867,1.8400733295,1.2267122913,0,1984.3,1.2004801921,1.318,10.945,0.8012820513,245.5,815.2,8.762,8.5835,2.498,21.25,61.37,9.284,3.0253,169.443,1883.25,6.297,3.41,1
1984.4,0.1889836997,0.2786917806,2.4212566227,-0.1453982027,5.5258512662,6.718288254,2.2068448207,2.1960572296,0.949725508,3.0933126019,4.1444037621,2.2609294177,1.1467673306,5.1556010643,7.5683172824,1.8764069433,1.2668067485,0,1984.4,1.2080212612,1.3214,11.26,0.8646779075,251.1,827.4,9.087,8.9895,2.585,22.05,63.08,9.592,3.148,173.4,1935.88,6.53,3.5495,1
1985.1,0.3494156423,0.3126185577,2.3992579803,-0.2175278125,5.5314112487,6.7455892284,2.1846457951,2.1852082248,0.9622196638,3.0762056577,4.1282627804,2.2435779124,1.1291414937,5.1480757032,7.5904732641,1.8606634479,1.2476068413,0,1985.1,1.4182385477,1.367,11.015,0.8045052293,252.5,850.3,8.8875,8.8925,2.6175,21.676,62.07,9.427,3.093,172.1,1979.25,6.428,3.482,1
1985.2,0.4072166411,0.3065283602,2.3935677407,-0.2585879122,5.5172520731,6.7728515165,2.1746380787,2.1751493697,0.9405930244,3.0665168723,4.1198092344,2.2318406885,1.118643648,5.1630530447,7.5755590102,1.8479822603,1.2373592233,0,1985.2,1.5026296018,1.3587,10.9525,0.7721411474,248.95,873.8,8.799,8.8035,2.5615,21.467,61.5475,9.317,3.0607,174.697,1949.95,6.347,3.4465,1
1985.3,0.3457350039,0.3155404006,2.274442787,-0.3371862674,5.3798973535,6.7931297531,2.0765624009,2.0874717134,0.7797834872,2.9322065727,3.9927731551,2.0983246287,0.9820410185,5.095589,7.4981108636,1.7491998548,1.1040972189,0,1985.3,1.4130281193,1.371,9.7225,0.7137758744,217,891.7,7.977,8.0645,2.181,18.769,54.205,8.1525,2.6699,163.3,1804.63,5.75,3.0165,1
1985.4,0.3843398265,0.334684926,2.1937741871,-0.3677632409,5.3008142467,6.7914461566,2.0258429606,2.0301856441,0.7306837841,2.8495497634,3.9191972092,2.0230034566,0.9006896656,5.0379261543,7.4256558164,1.6895421567,1.0195690813,0,1985.4,1.4686444412,1.3975,8.969,0.6922810661,200.5,890.2,7.5825,7.6155,2.0765,17.28,50.36,7.561,2.4613,154.15,1678.5,5.417,2.772,1
1986.1,0.3398178269,0.3345418031,2.1597534439,-0.3956167721,5.1907321559,6.7858136082,1.9892432738,1.9909517997,0.6625333219,2.7894458393,3.8603085697,1.9646618041,0.8404890185,4.9938281758,7.3656546969,1.649043167,0.9604989865,0,1986.1,1.4046916702,1.3973,8.669,0.6732646603,179.6,885.2,7.31,7.3225,1.9397,16.272,47.48,7.1325,2.3175,147.5,1580.75,5.202,2.613,1
1986.2,0.3897886287,0.3269268238,2.0994279756,-0.4254637946,5.1059454739,6.7873939223,2.0176991078,1.9624160315,0.5854506051,2.7380619752,3.8052726355,1.9475516582,0.7878207942,4.944381525,7.3204938711,1.6321773994,0.906240396,0,1986.2,1.4766686356,1.3867,8.1615,0.6534666405,165,886.6,7.521,7.1165,1.7958,15.457,44.9375,7.0115,2.1986,140.384,1510.95,5.115,2.475,1
1986.3,0.4661709832,0.3282240278,2.0333976032,-0.3715635564,5.0343518207,6.7765069924,1.9955163067,1.9319560997,0.4935980781,2.6558442096,3.7362400255,1.8903974391,0.703443986,4.8919418441,7.241008053,1.5884185452,0.826147182,0,1986.3,1.5938795027,1.3885,7.64,0.6896551724,153.6,877,7.356,6.903,1.6382,14.237,41.94,6.622,2.0207,133.212,1395.5,4.896,2.2845,1
1986.4,0.4082690354,0.3224457524,1.9936793841,-0.3883189493,5.0695329353,6.7585589726,2.0014800002,1.9197128335,0.4845843126,2.6181254936,3.6990772791,1.8648550243,0.6631002592,4.8857898784,7.2138640326,1.567365136,0.7848143691,0,1986.4,1.504211793,1.3805,7.3425,0.6781959986,159.1,861.4,7.4,6.819,1.6235,13.71,40.41,6.455,1.9408,132.395,1358.13,4.794,2.192,1
